Length,Item #,Item Name,XML NAACCR ID,Format,Allowable Values,PARENT XML ELEMENT,Section,Note,Data Type
3,3925,Sarcomatoid Features,sarcomatoidFeatures,,"000, 001-100, R01, R02, R03, R04, R05, XX5, XX6, XX7, XX8, XX9",Tumor,Stage/Prognostic Factors,,
1,3926,Schema Discriminator 1,schemaDiscriminator1,,,Tumor,Stage/Prognostic Factors,,
1,3927,Schema Discriminator 2,schemaDiscriminator2,,,Tumor,Stage/Prognostic Factors,,
1,3928,Schema Discriminator 3,schemaDiscriminator3,,,Tumor,Stage/Prognostic Factors,,
1,3929,Separate Tumor Nodules,separateTumorNodules,,"0-4, 7-9",Tumor,Stage/Prognostic Factors,,
1,3930,Serum Albumin Pretreatment Level,serumAlbuminPretreatmentLevel,,"0, 1, 5, 7, 9",Tumor,Stage/Prognostic Factors,,
1,3931,Serum Beta-2 Microglobulin Pretreatment Level,serumBeta2MicroglobulinPretxLvl,,"0-2, 5, 7, 9",Tumor,Stage/Prognostic Factors,,
7,3932,LDH Lab Value,ldhPretreatmentLabValue,Right justified,"0.0, 0.1-99999.9, XXXXX.1, XXXXX.7, XXXXX.8, XXXXX.9",Tumor,Stage/Prognostic Factors,,
1,3933,Thrombocytopenia,thrombocytopenia,,"0, 1, 5, 6, 7, 9",Tumor,Stage/Prognostic Factors,,
2,3934,Tumor Deposits,tumorDeposits,,"00, 01-99, X1, X2, X8, X9",Tumor,Stage/Prognostic Factors,,
1,3935,Tumor Growth Pattern,tumorGrowthPattern,,"1-3, 8, 9",Tumor,Stage/Prognostic Factors,,
1,3936,Ulceration,ulceration,,"0, 1, 8, 9",Tumor,Stage/Prognostic Factors,,
1,3937,Visceral and Parietal Pleural Invasion,visceralParietalPleuralInvasion,,"0, 4-6, 8, 9",Tumor,Stage/Prognostic Factors,,
1,3938,ALK Rearrangement,alkRearrangement,,"0-2, 4, 7-9, Blank",Tumor,Stage/Prognostic Factors,,
1,3939,EGFR Mutational Analysis,egfrMutationalAnalysis,,"0-2, 4, 7-9, Blank",Tumor,Stage/Prognostic Factors,,
1,3940,BRAF Mutational Analysis,brafMutationalAnalysis,,"0-2, 4, 7-9, Blank",Tumor,Stage/Prognostic Factors,,
1,3941,NRAS Mutational Analysis,nrasMutationalAnalysis,,"0-2, 4, 7-9",Tumor,Stage/Prognostic Factors,,
6,3942,CA 19-9 PreTX Lab Value,ca199PretxLabValue,Right justified,"0.0, 0.1-999.9, XXXX.1, XXXX.2, XXXX.3, XXXX.7, XXXX.8, XXXX.9, Blank",Tumor,Stage/Prognostic Factors,,
1,3943,NCDB--SARSCoV2--Test,ncdbSarsCov2Test,numeric,"0, 1, 9",Patient,Special Use,,
1,3944,NCDB--SARSCoV2--Pos,ncdbSarsCov2Pos,numeric,"0, 1, 9",Patient,Special Use,,
8,3945,NCDB--SARSCoV2--Pos Date,ncdbSarsCov2PosDate,YYYYMMDD,"Valid dates, Blank",Patient,Special Use,,
1,3946,NCDB--COVID19--Tx Impact,ncdbCovid19TxImpact,numeric,"1-5, 9",Tumor,Special Use,,
25,7010,Path Reporting Fac ID 1,pathReportingFacId1,"Left justified, alphanumeric",,Tumor,Pathology,,
25,7011,Path Reporting Fac ID 2,pathReportingFacId2,"Left justified, alphanumeric",,Tumor,Pathology,,
25,7012,Path Reporting Fac ID 3,pathReportingFacId3,"Left justified, alphanumeric",,Tumor,Pathology,,
25,7013,Path Reporting Fac ID 4,pathReportingFacId4,"Left justified, alphanumeric",,Tumor,Pathology,,
25,7014,Path Reporting Fac ID 5,pathReportingFacId5,"Left justified, alphanumeric",,Tumor,Pathology,,
20,7090,Path Report Number 1,pathReportNumber1,"Left justified, alphanumeric",,Tumor,Pathology,,
20,7091,Path Report Number 2,pathReportNumber2,"Left justified, alphanumeric",,Tumor,Pathology,,
20,7092,Path Report Number 3,pathReportNumber3,"Left justified, alphanumeric",,Tumor,Pathology,,
20,7093,Path Report Number 4,pathReportNumber4,"Left justified, alphanumeric",,Tumor,Pathology,,
20,7094,Path Report Number 5,pathReportNumber5,"Left justified, alphanumeric",,Tumor,Pathology,,
20,7100,Path Order Phys Lic No 1,pathOrderPhysLicNo1,"Left justified, alphanumeric, no embedded blanks",,Tumor,Pathology,,
20,7101,Path Order Phys Lic No 2,pathOrderPhysLicNo2,"Left justified, alphanumeric, no embedded blanks",,Tumor,Pathology,,
20,7102,Path Order Phys Lic No 3,pathOrderPhysLicNo3,"Left justified, alphanumeric, no embedded blanks",,Tumor,Pathology,,
20,7103,Path Order Phys Lic No 4,pathOrderPhysLicNo4,"left justified, alphanumeric, no embedded blanks",,Tumor,Pathology,,
20,7104,Path Order Phys Lic No 5,pathOrderPhysLicNo5,"left justified, alphanumeric, no embedded blanks",,Tumor,Pathology,,
25,7190,Path Ordering Fac No 1,pathOrderingFacNo1,"Left justified, alphanumeric",blank,Tumor,Pathology,,
25,7191,Path Ordering Fac No 2,pathOrderingFacNo2,"Left justified, alphanumeric",blank,Tumor,Pathology,,
25,7192,Path Ordering Fac No 3,pathOrderingFacNo3,"Left justified, alphanumeric",blank,Tumor,Pathology,,
25,7193,Path Ordering Fac No 4,pathOrderingFacNo4,"Left justified, alphanumeric",blank,Tumor,Pathology,,
25,7194,Path Ordering Fac No 5,pathOrderingFacNo5,"Left justified, alphanumeric",blank,Tumor,Pathology,,
14,7320,Path Date Spec Collect 1,pathDateSpecCollect1,YYYYMMDDhhmmss,Valid dates,Tumor,Pathology,,
14,7321,Path Date Spec Collect 2,pathDateSpecCollect2,YYYYMMDDhhmmss,Valid dates,Tumor,Pathology,,
14,7322,Path Date Spec Collect 3,pathDateSpecCollect3,YYYYMMDDhhmmss,Valid dates,Tumor,Pathology,,
14,7323,Path Date Spec Collect 4,pathDateSpecCollect4,YYYYMMDDhhmmss,Valid dates,Tumor,Pathology,,
14,7324,Path Date Spec Collect 5,pathDateSpecCollect5,YYYYMMDDhhmmss,Valid dates,Tumor,Pathology,,
2,7480,Path Report Type 1,pathReportType1,"Right justified, zero filled","01-11, 98, 99",Tumor,Pathology,,
2,7481,Path Report Type 2,pathReportType2,"Right justified, zero filled","01-11, 98, 99",Tumor,Pathology,,
2,7482,Path Report Type 3,pathReportType3,"Right justified, zero filled","01-11, 98, 99",Tumor,Pathology,,
2,7483,Path Report Type 4,pathReportType4,"Right justified, zero filled","01-11, 98, 99",Tumor,Pathology,,
2,7484,Path Report Type 5,pathReportType5,"Right justified, zero filled","01-11, 98, 99",Tumor,Pathology,,
